season,week,pair_id,is_active,elim_week,last_active_week,active_reason
1,1,S1_Evander Holyfield __ Edyta Sliwinska,True,3,3,J_score>0
1,1,S1_Joey McIntyre __ Ashly DelGrosso,True,5,5,J_score>0
1,1,S1_John O'Hurley __ Charlotte Jorgensen,True,6,6,J_score>0
1,1,S1_Kelly Monaco __ Alec Mazo,True,6,6,J_score>0
1,1,S1_Rachel Hunter __ Jonathan Roberts,True,4,4,J_score>0
1,1,S1_Trista Sutter __ Louis van Amstel,True,2,2,J_score>0
1,2,S1_Evander Holyfield __ Edyta Sliwinska,True,3,3,J_score>0
1,2,S1_Joey McIntyre __ Ashly DelGrosso,True,5,5,J_score>0
1,2,S1_John O'Hurley __ Charlotte Jorgensen,True,6,6,J_score>0
1,2,S1_Kelly Monaco __ Alec Mazo,True,6,6,J_score>0
1,2,S1_Rachel Hunter __ Jonathan Roberts,True,4,4,J_score>0
1,2,S1_Trista Sutter __ Louis van Amstel,True,2,2,J_score>0
1,3,S1_Evander Holyfield __ Edyta Sliwinska,True,3,3,J_score>0
1,3,S1_Joey McIntyre __ Ashly DelGrosso,True,5,5,J_score>0
1,3,S1_John O'Hurley __ Charlotte Jorgensen,True,6,6,J_score>0
1,3,S1_Kelly Monaco __ Alec Mazo,True,6,6,J_score>0
1,3,S1_Rachel Hunter __ Jonathan Roberts,True,4,4,J_score>0
1,3,S1_Trista Sutter __ Louis van Amstel,False,2,2,J_score>0
1,4,S1_Evander Holyfield __ Edyta Sliwinska,False,3,3,J_score>0
1,4,S1_Joey McIntyre __ Ashly DelGrosso,True,5,5,J_score>0
1,4,S1_John O'Hurley __ Charlotte Jorgensen,True,6,6,J_score>0
1,4,S1_Kelly Monaco __ Alec Mazo,True,6,6,J_score>0
1,4,S1_Rachel Hunter __ Jonathan Roberts,True,4,4,J_score>0
1,4,S1_Trista Sutter __ Louis van Amstel,False,2,2,J_score>0
1,5,S1_Evander Holyfield __ Edyta Sliwinska,False,3,3,J_score>0
1,5,S1_Joey McIntyre __ Ashly DelGrosso,True,5,5,J_score>0
1,5,S1_John O'Hurley __ Charlotte Jorgensen,True,6,6,J_score>0
1,5,S1_Kelly Monaco __ Alec Mazo,True,6,6,J_score>0
1,5,S1_Rachel Hunter __ Jonathan Roberts,False,4,4,J_score>0
1,5,S1_Trista Sutter __ Louis van Amstel,False,2,2,J_score>0
1,6,S1_Evander Holyfield __ Edyta Sliwinska,False,3,3,J_score>0
1,6,S1_Joey McIntyre __ Ashly DelGrosso,False,5,5,J_score>0
1,6,S1_John O'Hurley __ Charlotte Jorgensen,True,6,6,J_score>0
1,6,S1_Kelly Monaco __ Alec Mazo,True,6,6,J_score>0
1,6,S1_Rachel Hunter __ Jonathan Roberts,False,4,4,J_score>0
1,6,S1_Trista Sutter __ Louis van Amstel,False,2,2,J_score>0
2,1,S2_Drew Lachey __ Cheryl Burke,True,8,8,J_score>0
2,1,S2_George Hamilton __ Edyta Sliwinska,True,6,6,J_score>0
2,1,S2_Giselle Fernandez __ Jonathan Roberts,True,3,3,J_score>0
2,1,S2_Jerry Rice __ Anna Trebunskaya,True,8,8,J_score>0
2,1,S2_Kenny Mayne __ Andrea Hale,True,1,1,J_score>0
2,1,S2_Lisa Rinna __ Louis van Amstel,True,7,7,J_score>0
2,1,S2_Master P __ Ashly DelGrosso,True,4,4,J_score>0
2,1,S2_Stacy Keibler __ Tony Dovolani,True,8,8,J_score>0
2,1,S2_Tatum O'Neal __ Nick Kosovich,True,2,2,J_score>0
2,1,S2_Tia Carrere __ Maksim Chmerkoskiy,True,5,5,J_score>0
2,2,S2_Drew Lachey __ Cheryl Burke,True,8,8,J_score>0
2,2,S2_George Hamilton __ Edyta Sliwinska,True,6,6,J_score>0
2,2,S2_Giselle Fernandez __ Jonathan Roberts,True,3,3,J_score>0
2,2,S2_Jerry Rice __ Anna Trebunskaya,True,8,8,J_score>0
2,2,S2_Kenny Mayne __ Andrea Hale,False,1,1,J_score>0
2,2,S2_Lisa Rinna __ Louis van Amstel,True,7,7,J_score>0
2,2,S2_Master P __ Ashly DelGrosso,True,4,4,J_score>0
2,2,S2_Stacy Keibler __ Tony Dovolani,True,8,8,J_score>0
2,2,S2_Tatum O'Neal __ Nick Kosovich,True,2,2,J_score>0
2,2,S2_Tia Carrere __ Maksim Chmerkoskiy,True,5,5,J_score>0
2,3,S2_Drew Lachey __ Cheryl Burke,True,8,8,J_score>0
2,3,S2_George Hamilton __ Edyta Sliwinska,True,6,6,J_score>0
2,3,S2_Giselle Fernandez __ Jonathan Roberts,True,3,3,J_score>0
2,3,S2_Jerry Rice __ Anna Trebunskaya,True,8,8,J_score>0
2,3,S2_Kenny Mayne __ Andrea Hale,False,1,1,J_score>0
2,3,S2_Lisa Rinna __ Louis van Amstel,True,7,7,J_score>0
2,3,S2_Master P __ Ashly DelGrosso,True,4,4,J_score>0
2,3,S2_Stacy Keibler __ Tony Dovolani,True,8,8,J_score>0
2,3,S2_Tatum O'Neal __ Nick Kosovich,False,2,2,J_score>0
2,3,S2_Tia Carrere __ Maksim Chmerkoskiy,True,5,5,J_score>0
2,4,S2_Drew Lachey __ Cheryl Burke,True,8,8,J_score>0
2,4,S2_George Hamilton __ Edyta Sliwinska,True,6,6,J_score>0
2,4,S2_Giselle Fernandez __ Jonathan Roberts,False,3,3,J_score>0
2,4,S2_Jerry Rice __ Anna Trebunskaya,True,8,8,J_score>0
2,4,S2_Kenny Mayne __ Andrea Hale,False,1,1,J_score>0
2,4,S2_Lisa Rinna __ Louis van Amstel,True,7,7,J_score>0
2,4,S2_Master P __ Ashly DelGrosso,True,4,4,J_score>0
2,4,S2_Stacy Keibler __ Tony Dovolani,True,8,8,J_score>0
2,4,S2_Tatum O'Neal __ Nick Kosovich,False,2,2,J_score>0
2,4,S2_Tia Carrere __ Maksim Chmerkoskiy,True,5,5,J_score>0
2,5,S2_Drew Lachey __ Cheryl Burke,True,8,8,J_score>0
2,5,S2_George Hamilton __ Edyta Sliwinska,True,6,6,J_score>0
2,5,S2_Giselle Fernandez __ Jonathan Roberts,False,3,3,J_score>0
2,5,S2_Jerry Rice __ Anna Trebunskaya,True,8,8,J_score>0
2,5,S2_Kenny Mayne __ Andrea Hale,False,1,1,J_score>0
2,5,S2_Lisa Rinna __ Louis van Amstel,True,7,7,J_score>0
2,5,S2_Master P __ Ashly DelGrosso,False,4,4,J_score>0
2,5,S2_Stacy Keibler __ Tony Dovolani,True,8,8,J_score>0
2,5,S2_Tatum O'Neal __ Nick Kosovich,False,2,2,J_score>0
2,5,S2_Tia Carrere __ Maksim Chmerkoskiy,True,5,5,J_score>0
2,6,S2_Drew Lachey __ Cheryl Burke,True,8,8,J_score>0
2,6,S2_George Hamilton __ Edyta Sliwinska,True,6,6,J_score>0
2,6,S2_Giselle Fernandez __ Jonathan Roberts,False,3,3,J_score>0
2,6,S2_Jerry Rice __ Anna Trebunskaya,True,8,8,J_score>0
2,6,S2_Kenny Mayne __ Andrea Hale,False,1,1,J_score>0
2,6,S2_Lisa Rinna __ Louis van Amstel,True,7,7,J_score>0
2,6,S2_Master P __ Ashly DelGrosso,False,4,4,J_score>0
2,6,S2_Stacy Keibler __ Tony Dovolani,True,8,8,J_score>0
2,6,S2_Tatum O'Neal __ Nick Kosovich,False,2,2,J_score>0
2,6,S2_Tia Carrere __ Maksim Chmerkoskiy,False,5,5,J_score>0
2,7,S2_Drew Lachey __ Cheryl Burke,True,8,8,J_score>0
2,7,S2_George Hamilton __ Edyta Sliwinska,False,6,6,J_score>0
2,7,S2_Giselle Fernandez __ Jonathan Roberts,False,3,3,J_score>0
2,7,S2_Jerry Rice __ Anna Trebunskaya,True,8,8,J_score>0
2,7,S2_Kenny Mayne __ Andrea Hale,False,1,1,J_score>0
2,7,S2_Lisa Rinna __ Louis van Amstel,True,7,7,J_score>0
2,7,S2_Master P __ Ashly DelGrosso,False,4,4,J_score>0
2,7,S2_Stacy Keibler __ Tony Dovolani,True,8,8,J_score>0
2,7,S2_Tatum O'Neal __ Nick Kosovich,False,2,2,J_score>0
2,7,S2_Tia Carrere __ Maksim Chmerkoskiy,False,5,5,J_score>0
2,8,S2_Drew Lachey __ Cheryl Burke,True,8,8,J_score>0
2,8,S2_George Hamilton __ Edyta Sliwinska,False,6,6,J_score>0
2,8,S2_Giselle Fernandez __ Jonathan Roberts,False,3,3,J_score>0
2,8,S2_Jerry Rice __ Anna Trebunskaya,True,8,8,J_score>0
2,8,S2_Kenny Mayne __ Andrea Hale,False,1,1,J_score>0
2,8,S2_Lisa Rinna __ Louis van Amstel,False,7,7,J_score>0
2,8,S2_Master P __ Ashly DelGrosso,False,4,4,J_score>0
2,8,S2_Stacy Keibler __ Tony Dovolani,True,8,8,J_score>0
2,8,S2_Tatum O'Neal __ Nick Kosovich,False,2,2,J_score>0
2,8,S2_Tia Carrere __ Maksim Chmerkoskiy,False,5,5,J_score>0
3,1,S3_Emmitt Smith __ Cheryl Burke,True,10,10,J_score>0
3,1,S3_Harry Hamlin __ Ashly DelGrosso,True,3,3,J_score>0
