season,week,elim_count,eliminated_pair_ids,notes
1,1,0,,season_start
1,2,0,,no_elimination
1,3,1,S1_Trista Sutter __ Louis van Amstel,single_elimination
1,4,1,S1_Evander Holyfield __ Edyta Sliwinska,single_elimination
1,5,1,S1_Rachel Hunter __ Jonathan Roberts,single_elimination
1,6,1,S1_Joey McIntyre __ Ashly DelGrosso,single_elimination;finale_multi_exit
2,1,0,,season_start
2,2,1,S2_Kenny Mayne __ Andrea Hale,single_elimination
2,3,1,S2_Tatum O'Neal __ Nick Kosovich,single_elimination
2,4,1,S2_Giselle Fernandez __ Jonathan Roberts,single_elimination
2,5,1,S2_Master P __ Ashly DelGrosso,single_elimination
2,6,1,S2_Tia Carrere __ Maksim Chmerkoskiy,single_elimination
2,7,1,S2_George Hamilton __ Edyta Sliwinska,single_elimination
2,8,1,S2_Lisa Rinna __ Louis van Amstel,single_elimination;finale_multi_exit
3,1,0,,season_start
3,2,1,S3_Tucker Carlson __ Elena Grinenko,single_elimination
3,3,1,S3_Shanna Moakler __ Jesse DeSoto,single_elimination
3,4,1,S3_Harry Hamlin __ Ashly DelGrosso,single_elimination
3,5,1,S3_Vivica A. Fox __ Nick Kosovich,single_elimination
3,6,2,S3_Sara Evans __ Tony Dovolani|S3_Willa Ford __ Maksim Chmerkoskiy,double_elimination
3,7,0,,no_elimination
3,8,1,S3_Jerry Springer __ Kym Johnson,single_elimination
3,9,1,S3_Monique Coleman __ Louis van Amstel,single_elimination
3,10,1,S3_Joey Lawrence __ Edyta Sliwinska,single_elimination;finale_multi_exit
4,1,0,,season_start
4,2,0,,no_elimination
4,3,1,S4_Paulina Porizkova __ Alec Mazo,single_elimination
4,4,1,S4_Shandi Finnessey __ Brian Fortuna,single_elimination
4,5,1,S4_Leeza Gibbons __ Tony Dovolani,single_elimination
4,6,1,S4_Clyde Drexler __ Elena Grinenko,single_elimination
4,7,1,S4_Heather Mills __ Jonathan Roberts,single_elimination
4,8,1,S4_John Ratzenberger __ Edyta Sliwinska,single_elimination
4,9,1,S4_Billy Ray Cyrus __ Karina Smirnoff,single_elimination
4,10,1,S4_Ian Ziering __ Cheryl Burke,single_elimination;finale_multi_exit
5,1,0,,season_start
5,2,1,S5_Josie Maran __ Alec Mazo,single_elimination
5,3,1,S5_Albert Reed __ Anna Trebunskaya,single_elimination
5,4,1,S5_Wayne Newton __ Cheryl Burke,single_elimination
5,5,1,S5_Floyd Mayweather Jr. __ Karina Smirnoff,single_elimination
5,6,1,S5_Mark Cuban __ Kym Johnson,single_elimination
5,7,1,S5_Sabrina Bryan __ Mark Ballas,single_elimination
5,8,1,S5_Jane Seymour __ Tony Dovolani,single_elimination
5,9,1,S5_Cameron Mathison __ Edyta Sliwinska,single_elimination
5,10,1,S5_Jennie Garth __ Derek Hough,single_elimination;finale_multi_exit
6,1,0,,season_start
6,2,0,,no_elimination
6,3,2,S6_Monica Seles __ Jonathan Roberts|S6_Penn Jillette __ Kym Johnson,double_elimination
6,4,1,S6_Steve Guttenberg __ Anna Trebunskaya,single_elimination
6,5,1,S6_Adam Carolla __ Julianne Hough,single_elimination
6,6,1,S6_Priscilla Presley __ Louis van Amstel,single_elimination
6,7,1,S6_Marlee Matlin __ Fabian Sanchez,single_elimination
6,8,1,S6_Shannon Elizabeth __ Derek Hough,single_elimination
6,9,1,S6_Mario __ Karina Smirnoff,single_elimination
6,10,1,S6_Marissa Jaret Winokur __ Tony Dovolani,single_elimination;finale_multi_exit
7,1,0,,season_start
7,2,2,S7_Jeffrey Ross __ Edyta Sliwinska|S7_Ted McGinley __ Inna Brayer,double_elimination
7,3,2,S7_Kim Kardashian __ Mark Ballas|S7_Misty May-Treanor __ Maksim Chmerkoskiy,double_elimination
7,4,0,,no_elimination
7,5,1,S7_Rocco DiSpirito __ Karina Smirnoff,single_elimination
7,6,1,S7_Toni Braxton __ Alec Mazo,single_elimination
7,7,1,S7_Cloris Leachman __ Corky Ballas,single_elimination
7,8,1,S7_Susan Lucci __ Tony Dovolani,single_elimination
7,9,1,S7_Maurice Greene __ Cheryl Burke,single_elimination
7,10,1,S7_Cody Linley __ Julianne Hough,single_elimination;finale_multi_exit
8,1,0,,season_start
8,2,0,,no_elimination
8,3,1,S8_Belinda Carlisle __ Jonathan Roberts,single_elimination
8,4,1,S8_Denise Richards __ Maksim Chmerkoskiy,single_elimination
8,5,2,S8_Holly Madison __ Dmitry Chaplin|S8_Steve Wozniak __ Karina Smirnoff,double_elimination
8,6,1,S8_David Alan Grier __ Kym Johnson,single_elimination
8,7,1,S8_Steve-O __ Lacey Schwimmer,single_elimination
8,8,1,S8_Lawrence Taylor __ Edyta Sliwinska,single_elimination
8,9,1,S8_Chuck Wicks __ Julianne Hough,single_elimination
8,10,1,S8_Lil' Kim __ Derek Hough,single_elimination
8,11,1,S8_Ty Murray __ Chelsie Hightower,single_elimination;finale_multi_exit
9,1,0,,season_start
9,2,2,S9_Ashley Hamiliton __ Edyta Sliwinska|S9_Macy Gray __ Jonathan Roberts,double_elimination
9,3,1,S9_Kathy Ireland __ Tony Dovolani,single_elimination
9,4,2,S9_Debi Mazar __ Maksim Chmerkoskiy|S9_Tom DeLay __ Cheryl Burke,double_elimination
9,5,1,S9_Chuck Liddell __ Anna Trebunskaya,single_elimination
9,6,1,S9_Natalie Coughlin __ Alec Mazo,single_elimination
9,7,2,S9_Louie Vito __ Chelsie Hightower|S9_Melissa Joan Hart __ Mark Ballas,double_elimination
9,8,2,S9_Mark Dacascos __ Lacey Schwimmer|S9_Michael Irvin __ Anna Demidova,double_elimination
9,9,1,S9_Aaron Carter __ Karina Smirnoff,single_elimination
9,10,1,S9_Joanna Krupa __ Derek Hough,single_elimination;finale_multi_exit
10,1,0,,season_start
10,2,0,,no_elimination
10,3,1,S10_Shannen Doherty __ Mark Ballas,single_elimination
10,4,1,S10_Buzz Aldrin __ Ashly DelGrosso,single_elimination
10,5,1,S10_Aiden Turner __ Edyta Sliwinska,single_elimination
10,6,1,S10_Kate Gosselin __ Tony Dovolani,single_elimination
10,7,1,S10_Jake Pavelka __ Chelsie Hightower,single_elimination
10,8,1,S10_Pamela Anderson __ Damian Whitewood,single_elimination
10,9,1,S10_Niecy Nash __ Louis van Amstel,single_elimination
10,10,1,S10_Chad Ochocinco __ Cheryl Burke,single_elimination;finale_multi_exit
11,1,0,,season_start
11,2,1,S11_David Hasselhoff __ Kym Johnson,single_elimination
11,3,1,S11_Michael Bolton __ Chelsie Hightower,single_elimination
