season,week,pair_id,judge_id,judge_score,is_score_present
1,1,S1_John O'Hurley __ Charlotte Jorgensen,1,7.0,True
1,1,S1_Kelly Monaco __ Alec Mazo,1,5.0,True
1,1,S1_Evander Holyfield __ Edyta Sliwinska,1,5.0,True
1,1,S1_Rachel Hunter __ Jonathan Roberts,1,7.0,True
1,1,S1_Joey McIntyre __ Ashly DelGrosso,1,7.0,True
1,1,S1_Trista Sutter __ Louis van Amstel,1,6.0,True
2,1,S2_Tatum O'Neal __ Nick Kosovich,1,7.0,True
2,1,S2_Tia Carrere __ Maksim Chmerkoskiy,1,6.0,True
2,1,S2_George Hamilton __ Edyta Sliwinska,1,7.0,True
2,1,S2_Lisa Rinna __ Louis van Amstel,1,5.0,True
2,1,S2_Stacy Keibler __ Tony Dovolani,1,8.0,True
2,1,S2_Jerry Rice __ Anna Trebunskaya,1,7.0,True
2,1,S2_Giselle Fernandez __ Jonathan Roberts,1,7.0,True
2,1,S2_Master P __ Ashly DelGrosso,1,4.0,True
2,1,S2_Drew Lachey __ Cheryl Burke,1,8.0,True
2,1,S2_Kenny Mayne __ Andrea Hale,1,4.0,True
3,1,S3_Harry Hamlin __ Ashly DelGrosso,1,5.0,True
3,1,S3_Vivica A. Fox __ Nick Kosovich,1,6.0,True
3,1,S3_Monique Coleman __ Louis van Amstel,1,6.0,True
3,1,S3_Joey Lawrence __ Edyta Sliwinska,1,7.0,True
3,1,S3_Mario Lopez __ Karina Smirnoff,1,9.0,True
3,1,S3_Emmitt Smith __ Cheryl Burke,1,8.0,True
3,1,S3_Shanna Moakler __ Jesse DeSoto,1,7.0,True
3,1,S3_Willa Ford __ Maksim Chmerkoskiy,1,7.0,True
3,1,S3_Sara Evans __ Tony Dovolani,1,5.0,True
3,1,S3_Jerry Springer __ Kym Johnson,1,5.0,True
3,1,S3_Tucker Carlson __ Elena Grinenko,1,5.0,True
4,1,S4_John Ratzenberger __ Edyta Sliwinska,1,6.0,True
4,1,S4_Ian Ziering __ Cheryl Burke,1,7.0,True
4,1,S4_Clyde Drexler __ Elena Grinenko,1,6.0,True
4,1,S4_Laila Ali __ Maksim Chmerkoskiy,1,7.0,True
4,1,S4_Apolo Anton Ohno __ Julianne Hough,1,7.0,True
4,1,S4_Shandi Finnessey __ Brian Fortuna,1,6.0,True
4,1,S4_Paulina Porizkova __ Alec Mazo,1,6.0,True
4,1,S4_Heather Mills __ Jonathan Roberts,1,6.0,True
4,1,S4_Billy Ray Cyrus __ Karina Smirnoff,1,5.0,True
4,1,S4_Joey Fatone __ Kym Johnson,1,8.0,True
4,1,S4_Leeza Gibbons __ Tony Dovolani,1,5.0,True
5,1,S5_Cameron Mathison __ Edyta Sliwinska,1,7.0,True
5,1,S5_Jane Seymour __ Tony Dovolani,1,8.0,True
5,1,S5_Sabrina Bryan __ Mark Ballas,1,9.0,True
5,1,S5_Jennie Garth __ Derek Hough,1,7.0,True
5,1,S5_Floyd Mayweather Jr. __ Karina Smirnoff,1,6.0,True
5,1,S5_Josie Maran __ Alec Mazo,1,6.0,True
5,1,S5_Albert Reed __ Anna Trebunskaya,1,7.0,True
5,1,S5_Helio Castroneves __ Julianne Hough,1,8.0,True
5,1,S5_Mel B __ Maksim Chmerkoskiy,1,8.0,True
5,1,S5_Wayne Newton __ Cheryl Burke,1,6.0,True
5,1,S5_Marie Osmond __ Jonathan Roberts,1,7.0,True
5,1,S5_Mark Cuban __ Kym Johnson,1,7.0,True
6,1,S6_Cristian de la Fuente __ Cheryl Burke,1,7.0,True
6,1,S6_Steve Guttenberg __ Anna Trebunskaya,1,6.0,True
6,1,S6_Priscilla Presley __ Louis van Amstel,1,8.0,True
6,1,S6_Marlee Matlin __ Fabian Sanchez,1,7.0,True
6,1,S6_Shannon Elizabeth __ Derek Hough,1,7.0,True
6,1,S6_Marissa Jaret Winokur __ Tony Dovolani,1,6.0,True
6,1,S6_Jason Taylor __ Edyta Sliwinska,1,7.0,True
6,1,S6_Kristi Yamaguchi __ Mark Ballas,1,9.0,True
6,1,S6_Monica Seles __ Jonathan Roberts,1,5.0,True
6,1,S6_Penn Jillette __ Kym Johnson,1,5.0,True
6,1,S6_Adam Carolla __ Julianne Hough,1,5.0,True
6,1,S6_Mario __ Karina Smirnoff,1,8.0,True
7,1,S7_Ted McGinley __ Inna Brayer,1,6.0,True
7,1,S7_Cloris Leachman __ Corky Ballas,1,6.0,True
7,1,S7_Susan Lucci __ Tony Dovolani,1,6.0,True
7,1,S7_Cody Linley __ Julianne Hough,1,7.0,True
7,1,S7_Misty May-Treanor __ Maksim Chmerkoskiy,1,6.5,True
7,1,S7_Maurice Greene __ Cheryl Burke,1,6.5,True
7,1,S7_Warren Sapp __ Kym Johnson,1,7.0,True
7,1,S7_Jeffrey Ross __ Edyta Sliwinska,1,4.0,True
7,1,S7_Toni Braxton __ Alec Mazo,1,7.5,True
7,1,S7_Lance Bass __ Lacey Schwimmer,1,7.5,True
7,1,S7_Kim Kardashian __ Mark Ballas,1,6.0,True
7,1,S7_Rocco DiSpirito __ Karina Smirnoff,1,6.0,True
7,1,S7_Brooke Burke __ Derek Hough,1,8.0,True
8,1,S8_Gilles Marini __ Cheryl Burke,1,8.0,True
8,1,S8_Denise Richards __ Maksim Chmerkoskiy,1,6.0,True
8,1,S8_David Alan Grier __ Kym Johnson,1,6.0,True
8,1,S8_Lawrence Taylor __ Edyta Sliwinska,1,6.0,True
8,1,S8_Ty Murray __ Chelsie Hightower,1,5.0,True
8,1,S8_Shawn Johnson __ Mark Ballas,1,8.0,True
8,1,S8_Steve Wozniak __ Karina Smirnoff,1,5.0,True
8,1,S8_Belinda Carlisle __ Jonathan Roberts,1,6.0,True
8,1,S8_Chuck Wicks __ Julianne Hough,1,6.0,True
8,1,S8_Lil' Kim __ Derek Hough,1,7.0,True
8,1,S8_Steve-O __ Lacey Schwimmer,1,6.0,True
8,1,S8_Holly Madison __ Dmitry Chaplin,1,6.0,True
8,1,S8_Melissa Rycroft __ Tony Dovolani,1,8.0,True
9,1,S9_Ashley Hamiliton __ Edyta Sliwinska,1,6.3333,True
9,1,S9_Debi Mazar __ Maksim Chmerkoskiy,1,8.0,True
9,1,S9_Melissa Joan Hart __ Mark Ballas,1,8.0,True
9,1,S9_Mark Dacascos __ Lacey Schwimmer,1,9.6666,True
9,1,S9_Chuck Liddell __ Anna Trebunskaya,1,8.0,True
9,1,S9_Natalie Coughlin __ Alec Mazo,1,9.6666,True
9,1,S9_Louie Vito __ Chelsie Hightower,1,8.6666,True
9,1,S9_Michael Irvin __ Anna Demidova,1,7.0,True
9,1,S9_Joanna Krupa __ Derek Hough,1,11.3333,True
9,1,S9_Kathy Ireland __ Tony Dovolani,1,7.3333,True
9,1,S9_Tom DeLay __ Cheryl Burke,1,7.3333,True
9,1,S9_Macy Gray __ Jonathan Roberts,1,7.3333,True
9,1,S9_Aaron Carter __ Karina Smirnoff,1,10.3333,True
9,1,S9_Mya __ Dmitry Chaplin,1,11.3333,True
9,1,S9_Donny Osmond __ Kym Johnson,1,10.3333,True
