season,week,pair_id,J_score,is_active,elim_flag
1,1,S1_Evander Holyfield __ Edyta Sliwinska,18.0,True,False
1,2,S1_Evander Holyfield __ Edyta Sliwinska,14.0,True,False
1,3,S1_Evander Holyfield __ Edyta Sliwinska,13.0,True,False
1,4,S1_Evander Holyfield __ Edyta Sliwinska,0.0,False,True
1,5,S1_Evander Holyfield __ Edyta Sliwinska,0.0,False,False
1,6,S1_Evander Holyfield __ Edyta Sliwinska,0.0,False,False
1,1,S1_Joey McIntyre __ Ashly DelGrosso,20.0,True,False
1,2,S1_Joey McIntyre __ Ashly DelGrosso,21.0,True,False
1,3,S1_Joey McIntyre __ Ashly DelGrosso,22.0,True,False
1,4,S1_Joey McIntyre __ Ashly DelGrosso,20.0,True,False
1,5,S1_Joey McIntyre __ Ashly DelGrosso,22.5,True,False
1,6,S1_Joey McIntyre __ Ashly DelGrosso,0.0,False,True
1,1,S1_John O'Hurley __ Charlotte Jorgensen,20.0,True,False
1,2,S1_John O'Hurley __ Charlotte Jorgensen,26.0,True,False
1,3,S1_John O'Hurley __ Charlotte Jorgensen,24.0,True,False
1,4,S1_John O'Hurley __ Charlotte Jorgensen,21.0,True,False
1,5,S1_John O'Hurley __ Charlotte Jorgensen,27.0,True,False
1,6,S1_John O'Hurley __ Charlotte Jorgensen,27.0,True,False
1,1,S1_Kelly Monaco __ Alec Mazo,13.0,True,False
1,2,S1_Kelly Monaco __ Alec Mazo,17.0,True,False
1,3,S1_Kelly Monaco __ Alec Mazo,21.0,True,False
1,4,S1_Kelly Monaco __ Alec Mazo,26.0,True,False
1,5,S1_Kelly Monaco __ Alec Mazo,23.5,True,False
1,6,S1_Kelly Monaco __ Alec Mazo,27.5,True,False
1,1,S1_Rachel Hunter __ Jonathan Roberts,20.0,True,False
1,2,S1_Rachel Hunter __ Jonathan Roberts,24.0,True,False
1,3,S1_Rachel Hunter __ Jonathan Roberts,26.0,True,False
1,4,S1_Rachel Hunter __ Jonathan Roberts,25.0,True,False
1,5,S1_Rachel Hunter __ Jonathan Roberts,0.0,False,True
1,6,S1_Rachel Hunter __ Jonathan Roberts,0.0,False,False
1,1,S1_Trista Sutter __ Louis van Amstel,18.0,True,False
1,2,S1_Trista Sutter __ Louis van Amstel,19.0,True,False
1,3,S1_Trista Sutter __ Louis van Amstel,0.0,False,True
1,4,S1_Trista Sutter __ Louis van Amstel,0.0,False,False
1,5,S1_Trista Sutter __ Louis van Amstel,0.0,False,False
1,6,S1_Trista Sutter __ Louis van Amstel,0.0,False,False
2,1,S2_Drew Lachey __ Cheryl Burke,24.0,True,False
2,2,S2_Drew Lachey __ Cheryl Burke,27.0,True,False
2,3,S2_Drew Lachey __ Cheryl Burke,27.0,True,False
2,4,S2_Drew Lachey __ Cheryl Burke,28.0,True,False
2,5,S2_Drew Lachey __ Cheryl Burke,27.0,True,False
2,6,S2_Drew Lachey __ Cheryl Burke,30.0,True,False
2,7,S2_Drew Lachey __ Cheryl Burke,27.5,True,False
2,8,S2_Drew Lachey __ Cheryl Burke,28.9998,True,False
2,1,S2_George Hamilton __ Edyta Sliwinska,18.0,True,False
2,2,S2_George Hamilton __ Edyta Sliwinska,22.0,True,False
2,3,S2_George Hamilton __ Edyta Sliwinska,22.0,True,False
2,4,S2_George Hamilton __ Edyta Sliwinska,21.0,True,False
2,5,S2_George Hamilton __ Edyta Sliwinska,24.0,True,False
2,6,S2_George Hamilton __ Edyta Sliwinska,23.0,True,False
2,7,S2_George Hamilton __ Edyta Sliwinska,0.0,False,True
2,8,S2_George Hamilton __ Edyta Sliwinska,0.0,False,False
2,1,S2_Giselle Fernandez __ Jonathan Roberts,23.0,True,False
2,2,S2_Giselle Fernandez __ Jonathan Roberts,24.0,True,False
2,3,S2_Giselle Fernandez __ Jonathan Roberts,22.0,True,False
2,4,S2_Giselle Fernandez __ Jonathan Roberts,0.0,False,True
2,5,S2_Giselle Fernandez __ Jonathan Roberts,0.0,False,False
2,6,S2_Giselle Fernandez __ Jonathan Roberts,0.0,False,False
2,7,S2_Giselle Fernandez __ Jonathan Roberts,0.0,False,False
2,8,S2_Giselle Fernandez __ Jonathan Roberts,0.0,False,False
2,1,S2_Jerry Rice __ Anna Trebunskaya,21.0,True,False
2,2,S2_Jerry Rice __ Anna Trebunskaya,23.0,True,False
2,3,S2_Jerry Rice __ Anna Trebunskaya,19.0,True,False
2,4,S2_Jerry Rice __ Anna Trebunskaya,24.0,True,False
2,5,S2_Jerry Rice __ Anna Trebunskaya,23.0,True,False
2,6,S2_Jerry Rice __ Anna Trebunskaya,23.0,True,False
2,7,S2_Jerry Rice __ Anna Trebunskaya,20.5,True,False
2,8,S2_Jerry Rice __ Anna Trebunskaya,26.666600000000003,True,False
2,1,S2_Kenny Mayne __ Andrea Hale,13.0,True,False
2,2,S2_Kenny Mayne __ Andrea Hale,0.0,False,True
2,3,S2_Kenny Mayne __ Andrea Hale,0.0,False,False
2,4,S2_Kenny Mayne __ Andrea Hale,0.0,False,False
2,5,S2_Kenny Mayne __ Andrea Hale,0.0,False,False
2,6,S2_Kenny Mayne __ Andrea Hale,0.0,False,False
2,7,S2_Kenny Mayne __ Andrea Hale,0.0,False,False
2,8,S2_Kenny Mayne __ Andrea Hale,0.0,False,False
2,1,S2_Lisa Rinna __ Louis van Amstel,19.0,True,False
2,2,S2_Lisa Rinna __ Louis van Amstel,20.0,True,False
2,3,S2_Lisa Rinna __ Louis van Amstel,25.0,True,False
2,4,S2_Lisa Rinna __ Louis van Amstel,26.0,True,False
2,5,S2_Lisa Rinna __ Louis van Amstel,25.0,True,False
2,6,S2_Lisa Rinna __ Louis van Amstel,27.0,True,False
2,7,S2_Lisa Rinna __ Louis van Amstel,26.5,True,False
2,8,S2_Lisa Rinna __ Louis van Amstel,0.0,False,True
2,1,S2_Master P __ Ashly DelGrosso,12.0,True,False
2,2,S2_Master P __ Ashly DelGrosso,16.0,True,False
2,3,S2_Master P __ Ashly DelGrosso,14.0,True,False
2,4,S2_Master P __ Ashly DelGrosso,8.0,True,False
2,5,S2_Master P __ Ashly DelGrosso,0.0,False,True
2,6,S2_Master P __ Ashly DelGrosso,0.0,False,False
2,7,S2_Master P __ Ashly DelGrosso,0.0,False,False
2,8,S2_Master P __ Ashly DelGrosso,0.0,False,False
2,1,S2_Stacy Keibler __ Tony Dovolani,22.0,True,False
2,2,S2_Stacy Keibler __ Tony Dovolani,29.0,True,False
2,3,S2_Stacy Keibler __ Tony Dovolani,27.0,True,False
2,4,S2_Stacy Keibler __ Tony Dovolani,26.0,True,False
2,5,S2_Stacy Keibler __ Tony Dovolani,30.0,True,False
2,6,S2_Stacy Keibler __ Tony Dovolani,30.0,True,False
2,7,S2_Stacy Keibler __ Tony Dovolani,27.5,True,False
2,8,S2_Stacy Keibler __ Tony Dovolani,28.6665,True,False
2,1,S2_Tatum O'Neal __ Nick Kosovich,23.0,True,False
2,2,S2_Tatum O'Neal __ Nick Kosovich,17.0,True,False
2,3,S2_Tatum O'Neal __ Nick Kosovich,0.0,False,True
2,4,S2_Tatum O'Neal __ Nick Kosovich,0.0,False,False
2,5,S2_Tatum O'Neal __ Nick Kosovich,0.0,False,False
2,6,S2_Tatum O'Neal __ Nick Kosovich,0.0,False,False
2,7,S2_Tatum O'Neal __ Nick Kosovich,0.0,False,False
2,8,S2_Tatum O'Neal __ Nick Kosovich,0.0,False,False
2,1,S2_Tia Carrere __ Maksim Chmerkoskiy,20.0,True,False
2,2,S2_Tia Carrere __ Maksim Chmerkoskiy,22.0,True,False
2,3,S2_Tia Carrere __ Maksim Chmerkoskiy,26.0,True,False
2,4,S2_Tia Carrere __ Maksim Chmerkoskiy,25.0,True,False
2,5,S2_Tia Carrere __ Maksim Chmerkoskiy,22.0,True,False
2,6,S2_Tia Carrere __ Maksim Chmerkoskiy,0.0,False,True
2,7,S2_Tia Carrere __ Maksim Chmerkoskiy,0.0,False,False
2,8,S2_Tia Carrere __ Maksim Chmerkoskiy,0.0,False,False
3,1,S3_Emmitt Smith __ Cheryl Burke,24.0,True,False
3,2,S3_Emmitt Smith __ Cheryl Burke,24.0,True,False
3,3,S3_Emmitt Smith __ Cheryl Burke,19.0,True,False
3,4,S3_Emmitt Smith __ Cheryl Burke,24.0,True,False
3,5,S3_Emmitt Smith __ Cheryl Burke,27.0,True,False
3,6,S3_Emmitt Smith __ Cheryl Burke,25.0,True,False
3,7,S3_Emmitt Smith __ Cheryl Burke,28.5,True,False
3,8,S3_Emmitt Smith __ Cheryl Burke,27.0,True,False
3,9,S3_Emmitt Smith __ Cheryl Burke,29.5,True,False
3,10,S3_Emmitt Smith __ Cheryl Burke,29.666600000000003,True,False
3,1,S3_Harry Hamlin __ Ashly DelGrosso,17.0,True,False
3,2,S3_Harry Hamlin __ Ashly DelGrosso,21.0,True,False
3,3,S3_Harry Hamlin __ Ashly DelGrosso,22.0,True,False
3,4,S3_Harry Hamlin __ Ashly DelGrosso,0.0,False,True
3,5,S3_Harry Hamlin __ Ashly DelGrosso,0.0,False,False
3,6,S3_Harry Hamlin __ Ashly DelGrosso,0.0,False,False
3,7,S3_Harry Hamlin __ Ashly DelGrosso,0.0,False,False
3,8,S3_Harry Hamlin __ Ashly DelGrosso,0.0,False,False
3,9,S3_Harry Hamlin __ Ashly DelGrosso,0.0,False,False
3,10,S3_Harry Hamlin __ Ashly DelGrosso,0.0,False,False
3,1,S3_Jerry Springer __ Kym Johnson,16.0,True,False
3,2,S3_Jerry Springer __ Kym Johnson,19.0,True,False
3,3,S3_Jerry Springer __ Kym Johnson,21.0,True,False
3,4,S3_Jerry Springer __ Kym Johnson,22.0,True,False
3,5,S3_Jerry Springer __ Kym Johnson,24.0,True,False
3,6,S3_Jerry Springer __ Kym Johnson,18.0,True,False
3,7,S3_Jerry Springer __ Kym Johnson,23.0,True,False
3,8,S3_Jerry Springer __ Kym Johnson,0.0,False,True
3,9,S3_Jerry Springer __ Kym Johnson,0.0,False,False
3,10,S3_Jerry Springer __ Kym Johnson,0.0,False,False
3,1,S3_Joey Lawrence __ Edyta Sliwinska,21.0,True,False
3,2,S3_Joey Lawrence __ Edyta Sliwinska,29.0,True,False
3,3,S3_Joey Lawrence __ Edyta Sliwinska,22.0,True,False
3,4,S3_Joey Lawrence __ Edyta Sliwinska,27.0,True,False
3,5,S3_Joey Lawrence __ Edyta Sliwinska,25.0,True,False
3,6,S3_Joey Lawrence __ Edyta Sliwinska,24.0,True,False
3,7,S3_Joey Lawrence __ Edyta Sliwinska,28.5,True,False
3,8,S3_Joey Lawrence __ Edyta Sliwinska,27.0,True,False
3,9,S3_Joey Lawrence __ Edyta Sliwinska,29.5,True,False
3,10,S3_Joey Lawrence __ Edyta Sliwinska,0.0,False,True
3,1,S3_Mario Lopez __ Karina Smirnoff,26.0,True,False
3,2,S3_Mario Lopez __ Karina Smirnoff,21.0,True,False
3,3,S3_Mario Lopez __ Karina Smirnoff,22.0,True,False
3,4,S3_Mario Lopez __ Karina Smirnoff,29.0,True,False
3,5,S3_Mario Lopez __ Karina Smirnoff,27.0,True,False
3,6,S3_Mario Lopez __ Karina Smirnoff,28.0,True,False
3,7,S3_Mario Lopez __ Karina Smirnoff,28.0,True,False
3,8,S3_Mario Lopez __ Karina Smirnoff,28.5,True,False
3,9,S3_Mario Lopez __ Karina Smirnoff,29.5,True,False
3,10,S3_Mario Lopez __ Karina Smirnoff,29.666600000000003,True,False
3,1,S3_Monique Coleman __ Louis van Amstel,19.0,True,False
3,2,S3_Monique Coleman __ Louis van Amstel,26.0,True,False
3,3,S3_Monique Coleman __ Louis van Amstel,27.0,True,False
3,4,S3_Monique Coleman __ Louis van Amstel,24.0,True,False
3,5,S3_Monique Coleman __ Louis van Amstel,27.0,True,False
3,6,S3_Monique Coleman __ Louis van Amstel,23.0,True,False
3,7,S3_Monique Coleman __ Louis van Amstel,27.0,True,False
3,8,S3_Monique Coleman __ Louis van Amstel,26.5,True,False
3,9,S3_Monique Coleman __ Louis van Amstel,0.0,False,True
3,10,S3_Monique Coleman __ Louis van Amstel,0.0,False,False
3,1,S3_Sara Evans __ Tony Dovolani,15.0,True,False
3,2,S3_Sara Evans __ Tony Dovolani,21.0,True,False
3,3,S3_Sara Evans __ Tony Dovolani,25.0,True,False
3,4,S3_Sara Evans __ Tony Dovolani,20.0,True,False
3,5,S3_Sara Evans __ Tony Dovolani,24.0,True,False
3,6,S3_Sara Evans __ Tony Dovolani,0.0,False,True
3,7,S3_Sara Evans __ Tony Dovolani,0.0,False,False
3,8,S3_Sara Evans __ Tony Dovolani,0.0,False,False
3,9,S3_Sara Evans __ Tony Dovolani,0.0,False,False
3,10,S3_Sara Evans __ Tony Dovolani,0.0,False,False
3,1,S3_Shanna Moakler __ Jesse DeSoto,18.0,True,False
3,2,S3_Shanna Moakler __ Jesse DeSoto,22.0,True,False
3,3,S3_Shanna Moakler __ Jesse DeSoto,0.0,False,True
3,4,S3_Shanna Moakler __ Jesse DeSoto,0.0,False,False
3,5,S3_Shanna Moakler __ Jesse DeSoto,0.0,False,False
3,6,S3_Shanna Moakler __ Jesse DeSoto,0.0,False,False
3,7,S3_Shanna Moakler __ Jesse DeSoto,0.0,False,False
3,8,S3_Shanna Moakler __ Jesse DeSoto,0.0,False,False
3,9,S3_Shanna Moakler __ Jesse DeSoto,0.0,False,False
3,10,S3_Shanna Moakler __ Jesse DeSoto,0.0,False,False
3,1,S3_Tucker Carlson __ Elena Grinenko,12.0,True,False
3,2,S3_Tucker Carlson __ Elena Grinenko,0.0,False,True
3,3,S3_Tucker Carlson __ Elena Grinenko,0.0,False,False
3,4,S3_Tucker Carlson __ Elena Grinenko,0.0,False,False
3,5,S3_Tucker Carlson __ Elena Grinenko,0.0,False,False
3,6,S3_Tucker Carlson __ Elena Grinenko,0.0,False,False
3,7,S3_Tucker Carlson __ Elena Grinenko,0.0,False,False
3,8,S3_Tucker Carlson __ Elena Grinenko,0.0,False,False
