season,week,N_active,scheme,elim_set,accept_rate,consistency_mean,margin_mean,consistency_map,margin_map,n_accept,draws,status,prior_source
1,1,6,Rank,,1.0,1.0,,1.0,,500,500,ok,initial
1,2,6,Rank,S1_Trista Sutter,0.23786869647954328,1.0,3.0,1.0,0.0,500,2102,ok,smoothed_from_prev
1,3,5,Rank,S1_Evander Holyfield,0.3008423586040915,1.0,4.0,1.0,1.0,500,1662,ok,smoothed_from_prev
1,4,4,Rank,S1_Rachel Hunter,0.23980815347721823,1.0,0.0,1.0,0.0,500,2085,ok,smoothed_from_prev
1,5,3,Rank,S1_Joey McIntyre,0.44563279857397503,1.0,1.0,1.0,1.0,500,1122,ok,smoothed_from_prev
2,1,10,Rank,S2_Kenny Mayne,0.25075225677031093,1.0,7.0,1.0,2.0,500,1994,ok,initial
2,2,9,Rank,S2_Tatum O'Neal,0.35714285714285715,1.0,7.0,1.0,2.0,500,1400,ok,smoothed_from_prev
2,3,8,Rank,S2_Giselle Fernandez,0.16931933626820184,1.0,4.5,1.0,1.0,500,2953,ok,smoothed_from_prev
2,4,7,Rank,S2_Master P,0.26191723415400736,1.0,3.5,1.0,1.0,500,1909,ok,smoothed_from_prev
2,5,6,Rank,S2_Tia Carrere,0.6468305304010349,1.0,4.0,1.0,4.0,500,773,ok,smoothed_from_prev
2,6,5,Rank,S2_George Hamilton,0.39032006245121,1.0,1.0,1.0,0.0,500,1281,ok,smoothed_from_prev
2,7,4,Rank,S2_Lisa Rinna,0.3770739064856712,1.0,2.0,1.0,0.5,500,1326,ok,smoothed_from_prev
3,1,11,Percent,S3_Tucker Carlson,0.48971596474045054,1.0,0.03216690410470424,1.0,0.014382193584733749,500,1021,ok,initial
3,2,10,Percent,S3_Shanna Moakler,0.10187449062754686,1.0,0.05977026901582955,1.0,0.013530487760086779,500,4908,ok,smoothed_from_prev
3,3,9,Percent,S3_Harry Hamlin,0.1151808339092375,1.0,0.054946079264421105,1.0,0.006941370521086121,500,4341,ok,smoothed_from_prev
3,4,8,Percent,S3_Vivica A. Fox,0.14188422247446084,1.0,0.0670343369104808,1.0,0.004530827422677908,500,3524,ok,smoothed_from_prev
3,5,7,Percent,S3_Sara Evans;S3_Willa Ford,0.039881949429688125,1.0,0.06521024651847396,1.0,0.018672778340833474,500,12537,ok,smoothed_from_prev
