season,weeks,elim_weeks,contro_weeks,contro_week_rate,mean_contro_rate,mean_max_abs_gap
1,3,0,1,0.3333333333333333,0.06666666666666667,2.6666666666666665
2,6,0,5,0.8333333333333334,0.2836640211640212,5.166666666666667
3,7,0,5,0.7142857142857143,0.3288548752834467,5.0
4,7,0,6,0.8571428571428571,0.4155895691609977,5.714285714285714
5,5,0,3,0.6,0.23714285714285716,4.4
6,7,0,5,0.7142857142857143,0.20453514739229026,5.714285714285714
7,7,0,6,0.8571428571428571,0.3811018346732632,5.857142857142857
8,8,0,7,0.875,0.35190746753246754,6.375
9,8,0,6,0.75,0.3821317571317571,7.0
10,7,0,6,0.8571428571428571,0.33764172335600906,5.714285714285714
11,8,0,7,0.875,0.4359893578643579,6.125
12,7,0,4,0.5714285714285714,0.27012471655328796,4.857142857142857
13,8,0,7,0.875,0.39745670995670995,6.25
14,7,0,6,0.8571428571428571,0.30575139146567715,5.857142857142857
15,6,0,5,0.8333333333333334,0.37548100048100047,6.833333333333333
16,7,0,7,1.0,0.41974850546279113,6.0
17,7,0,7,1.0,0.33634302205730776,5.714285714285714
18,6,0,6,1.0,0.3831108706108706,6.0
19,8,0,8,1.0,0.49536435786435784,6.5
20,7,0,6,0.8571428571428571,0.4712430426716141,6.142857142857143
21,6,0,5,0.8333333333333334,0.3862433862433862,5.5
22,6,0,6,1.0,0.33884680134680134,6.833333333333333
23,7,0,6,0.8571428571428571,0.2900381364667079,6.142857142857143
24,7,0,6,0.8571428571428571,0.2796588332302618,5.571428571428571
25,6,0,6,1.0,0.293560606060606,6.333333333333333
26,2,0,2,1.0,0.14583333333333331,4.5
27,6,0,6,1.0,0.4955387205387205,8.0
28,6,0,5,0.8333333333333334,0.3253968253968254,6.333333333333333
29,8,0,8,1.0,0.4917561605061605,8.0
30,7,0,7,1.0,0.580868734440163,8.428571428571429
31,8,0,8,1.0,0.5527930402930403,9.5
32,9,0,9,1.0,0.5964341214341213,7.222222222222222
33,1,0,1,1.0,0.2,4.0
34,7,0,7,1.0,0.4663677592249021,7.571428571428571
