season,week,n_active,n_contro,max_abs_gap,mean_abs_gap,contro_rate
1,3,5,1,4.0,2.4,0.2
1,4,4,0,2.0,1.0,0.0
1,5,3,0,2.0,1.3333333333333333,0.0
2,2,9,2,7.0,1.8888888888888888,0.2222222222222222
2,3,8,3,7.0,3.0,0.375
2,4,7,4,6.0,3.5714285714285716,0.5714285714285714
2,5,6,2,4.0,2.6666666666666665,0.3333333333333333
2,6,5,1,4.0,2.4,0.2
2,7,4,0,3.0,1.75,0.0
3,2,10,6,9.0,4.2,0.6
3,3,9,5,8.0,3.6666666666666665,0.5555555555555556
3,4,8,3,5.0,2.625,0.375
3,5,7,4,6.0,3.5714285714285716,0.5714285714285714
3,6,5,1,4.0,2.4,0.2
3,8,4,0,1.0,0.75,0.0
3,9,3,0,2.0,1.0,0.0
4,3,10,4,9.0,3.9,0.4
4,4,9,5,8.0,3.7777777777777777,0.5555555555555556
4,5,8,5,5.0,3.75,0.625
4,6,7,3,6.0,3.2857142857142856,0.42857142857142855
4,7,6,3,5.0,2.6666666666666665,0.5
4,8,5,2,4.0,2.4,0.4
4,9,4,0,3.0,1.25,0.0
5,5,8,4,6.0,2.5,0.5
5,6,7,2,6.0,2.7142857142857144,0.2857142857142857
5,7,6,0,3.0,1.8333333333333333,0.0
5,8,5,2,4.0,2.4,0.4
5,9,4,0,3.0,1.75,0.0
6,3,10,4,9.0,3.2,0.4
6,4,9,2,8.0,2.2222222222222223,0.2222222222222222
6,5,8,4,7.0,3.5,0.5
6,6,7,1,6.0,1.8571428571428572,0.14285714285714285
6,7,6,1,4.0,1.8333333333333333,0.16666666666666666
6,8,5,0,3.0,1.6,0.0
6,9,4,0,3.0,1.5,0.0
7,2,11,7,10.0,5.090909090909091,0.6363636363636364
7,3,9,4,8.0,3.7777777777777777,0.4444444444444444
7,5,8,5,7.0,3.75,0.625
7,6,7,3,5.0,3.0,0.42857142857142855
7,7,6,2,5.0,2.5,0.3333333333333333
7,8,5,1,4.0,1.4,0.2
7,9,4,0,2.0,0.75,0.0
8,3,12,7,10.0,4.666666666666667,0.5833333333333334
8,4,11,5,9.0,4.0,0.45454545454545453
8,5,9,3,8.0,3.0,0.3333333333333333
8,6,8,5,7.0,3.875,0.625
8,7,7,2,6.0,2.4285714285714284,0.2857142857142857
8,8,6,2,4.0,2.5,0.3333333333333333
8,9,5,1,4.0,1.8,0.2
8,10,4,0,3.0,2.0,0.0
9,2,14,7,11.0,4.428571428571429,0.5
9,3,13,5,10.0,3.769230769230769,0.38461538461538464
9,4,11,6,8.0,4.090909090909091,0.5454545454545454
9,5,10,5,8.0,4.0,0.5
9,6,9,5,8.0,3.5555555555555554,0.5555555555555556
9,7,7,4,5.0,3.2857142857142856,0.5714285714285714
9,8,5,0,3.0,1.8,0.0
9,9,4,0,3.0,2.0,0.0
10,3,10,6,9.0,3.7,0.6
10,4,9,4,6.0,2.888888888888889,0.4444444444444444
10,5,8,4,7.0,3.125,0.5
10,6,7,2,6.0,2.5714285714285716,0.2857142857142857
10,7,6,2,5.0,2.0,0.3333333333333333
10,8,5,1,4.0,2.6,0.2
10,9,4,0,3.0,2.25,0.0
11,2,11,6,9.0,4.636363636363637,0.5454545454545454
11,3,10,6,9.0,4.5,0.6
11,4,9,5,7.0,4.222222222222222,0.5555555555555556
11,5,8,5,7.0,3.625,0.625
11,6,7,3,5.0,2.857142857142857,0.42857142857142855
11,7,6,2,5.0,2.8333333333333335,0.3333333333333333
11,8,5,2,4.0,2.6,0.4
11,9,4,0,3.0,1.5,0.0
12,3,10,5,7.0,3.6,0.5
12,4,9,4,7.0,3.5555555555555554,0.4444444444444444
12,5,8,3,7.0,3.0,0.375
12,6,7,4,5.0,3.2857142857142856,0.5714285714285714
12,7,6,0,2.0,1.0,0.0
12,8,5,0,3.0,2.0,0.0
12,9,4,0,3.0,2.0,0.0
13,2,11,8,10.0,5.090909090909091,0.7272727272727273
13,3,10,6,8.0,4.5,0.6
13,4,9,3,8.0,3.111111111111111,0.3333333333333333
13,5,8,4,6.0,3.5,0.5
