season,weeks_with_elim,diff_weeks,diff_share
1,3,1,0.3333333333333333
2,6,0,0.0
3,7,1,0.14285714285714285
4,7,0,0.0
5,5,0,0.0
6,7,0,0.0
7,7,1,0.14285714285714285
8,8,1,0.125
9,8,3,0.375
10,7,0,0.0
11,8,0,0.0
12,7,0,0.0
13,8,0,0.0
14,7,1,0.14285714285714285
15,6,1,0.16666666666666666
16,7,0,0.0
17,7,1,0.14285714285714285
18,6,2,0.3333333333333333
19,8,1,0.125
20,7,2,0.2857142857142857
21,6,2,0.3333333333333333
22,6,1,0.16666666666666666
23,7,1,0.14285714285714285
24,7,3,0.42857142857142855
25,6,1,0.16666666666666666
26,2,1,0.5
27,6,3,0.5
28,6,1,0.16666666666666666
29,8,1,0.125
30,7,1,0.14285714285714285
31,8,3,0.375
32,9,2,0.2222222222222222
33,1,1,1.0
34,7,0,0.0
