season,week,celebrity_name,pair_id,J_score,fan_share,judge_rank,fan_rank,rank_total,judge_pct,combined_pct,elim_count,elim_flag
1,3,Evander Holyfield,S1_Evander Holyfield __ Edyta Sliwinska,13.0,0.1632929076085946,5,5,10,0.12264150943396226,0.28593441704255684,1,False
1,3,Joey McIntyre,S1_Joey McIntyre __ Ashly DelGrosso,22.0,0.2178814106557207,3,2,5,0.20754716981132076,0.42542858046704146,1,False
1,3,John O'Hurley,S1_John O'Hurley __ Charlotte Jorgensen,24.0,0.1929976201764396,2,3,5,0.22641509433962265,0.4194127145160622,1,False
1,3,Kelly Monaco,S1_Kelly Monaco __ Alec Mazo,21.0,0.2388583382208453,4,1,5,0.19811320754716982,0.4369715457680151,1,False
1,3,Rachel Hunter,S1_Rachel Hunter __ Jonathan Roberts,26.0,0.1869697233383998,1,4,5,0.24528301886792453,0.43225274220632437,1,False
1,4,Joey McIntyre,S1_Joey McIntyre __ Ashly DelGrosso,20.0,0.3056567107067164,4,1,5,0.21739130434782608,0.5230480150545425,1,False
1,4,John O'Hurley,S1_John O'Hurley __ Charlotte Jorgensen,21.0,0.2464562190564861,3,3,6,0.22826086956521738,0.4747170886217035,1,False
1,4,Kelly Monaco,S1_Kelly Monaco __ Alec Mazo,26.0,0.2766270658788043,1,2,3,0.2826086956521739,0.5592357615309782,1,False
1,4,Rachel Hunter,S1_Rachel Hunter __ Jonathan Roberts,25.0,0.171260004357993,2,4,6,0.2717391304347826,0.4429991347927756,1,False
1,5,Joey McIntyre,S1_Joey McIntyre __ Ashly DelGrosso,22.5,0.3042515284614443,3,2,5,0.3082191780821918,0.6124707065436361,1,False
1,5,John O'Hurley,S1_John O'Hurley __ Charlotte Jorgensen,27.0,0.2985244565785555,1,3,4,0.3698630136986301,0.6683874702771856,1,False
1,5,Kelly Monaco,S1_Kelly Monaco __ Alec Mazo,23.5,0.3972240149600001,2,1,3,0.3219178082191781,0.7191418231791782,1,False
2,2,Drew Lachey,S2_Drew Lachey __ Cheryl Burke,27.0,0.1052828309338181,2,8,10,0.135,0.2402828309338181,1,False
2,2,George Hamilton,S2_George Hamilton __ Edyta Sliwinska,22.0,0.1234939887496172,5,2,7,0.11,0.2334939887496172,1,False
2,2,Giselle Fernandez,S2_Giselle Fernandez __ Jonathan Roberts,24.0,0.1145681902079923,3,4,7,0.12,0.2345681902079923,1,False
2,2,Jerry Rice,S2_Jerry Rice __ Anna Trebunskaya,23.0,0.1111701383682896,4,6,10,0.115,0.22617013836828959,1,False
2,2,Lisa Rinna,S2_Lisa Rinna __ Louis van Amstel,20.0,0.1233632855644792,7,3,10,0.1,0.2233632855644792,1,False
2,2,Master P,S2_Master P __ Ashly DelGrosso,16.0,0.1372463268908126,9,1,10,0.08,0.21724632689081258,1,False
2,2,Stacy Keibler,S2_Stacy Keibler __ Tony Dovolani,29.0,0.1058387446310518,1,7,8,0.145,0.2508387446310518,1,False
2,2,Tatum O'Neal,S2_Tatum O'Neal __ Nick Kosovich,17.0,0.065526898253036,8,9,17,0.085,0.150526898253036,1,False
2,2,Tia Carrere,S2_Tia Carrere __ Maksim Chmerkoskiy,22.0,0.113509596400903,6,5,11,0.11,0.223509596400903,1,False
2,3,Drew Lachey,S2_Drew Lachey __ Cheryl Burke,27.0,0.1048518985955321,1,7,8,0.14835164835164835,0.25320354694718045,1,False
2,3,George Hamilton,S2_George Hamilton __ Edyta Sliwinska,22.0,0.1438603484898248,5,2,7,0.12087912087912088,0.26473946936894566,1,False
2,3,Giselle Fernandez,S2_Giselle Fernandez __ Jonathan Roberts,22.0,0.0691909365958824,6,8,14,0.12087912087912088,0.19007005747500327,1,False
2,3,Jerry Rice,S2_Jerry Rice __ Anna Trebunskaya,19.0,0.1429238671623773,7,3,10,0.1043956043956044,0.24731947155798167,1,False
2,3,Lisa Rinna,S2_Lisa Rinna __ Louis van Amstel,25.0,0.1301315282534946,4,4,8,0.13736263736263737,0.267494165616132,1,False
2,3,Master P,S2_Master P __ Ashly DelGrosso,14.0,0.1745096913121791,8,1,9,0.07692307692307693,0.25143276823525607,1,False
2,3,Stacy Keibler,S2_Stacy Keibler __ Tony Dovolani,27.0,0.11250809819415,2,6,8,0.14835164835164835,0.26085974654579835,1,False
2,3,Tia Carrere,S2_Tia Carrere __ Maksim Chmerkoskiy,26.0,0.1220236313965592,3,5,8,0.14285714285714285,0.26488077425370204,1,False
2,4,Drew Lachey,S2_Drew Lachey __ Cheryl Burke,28.0,0.1141570191040348,1,7,8,0.17721518987341772,0.29137220897745253,1,False
2,4,George Hamilton,S2_George Hamilton __ Edyta Sliwinska,21.0,0.1774065286770426,6,1,7,0.13291139240506328,0.3103179210821059,1,False
2,4,Jerry Rice,S2_Jerry Rice __ Anna Trebunskaya,24.0,0.1729969393396564,5,2,7,0.1518987341772152,0.3248956735168716,1,False
2,4,Lisa Rinna,S2_Lisa Rinna __ Louis van Amstel,26.0,0.1415926485319905,2,4,6,0.16455696202531644,0.30614961055730694,1,False
2,4,Master P,S2_Master P __ Ashly DelGrosso,8.0,0.1246622050750311,7,6,13,0.05063291139240506,0.17529511646743617,1,False
2,4,Stacy Keibler,S2_Stacy Keibler __ Tony Dovolani,26.0,0.1248730265487156,3,5,8,0.16455696202531644,0.289429988574032,1,False
2,4,Tia Carrere,S2_Tia Carrere __ Maksim Chmerkoskiy,25.0,0.1443116327235286,4,3,7,0.15822784810126583,0.3025394808247944,1,False
2,5,Drew Lachey,S2_Drew Lachey __ Cheryl Burke,27.0,0.1310045298496471,2,6,8,0.17880794701986755,0.30981247686951463,1,False
2,5,George Hamilton,S2_George Hamilton __ Edyta Sliwinska,24.0,0.2089896658738628,4,2,6,0.15894039735099338,0.3679300632248562,1,False
2,5,Jerry Rice,S2_Jerry Rice __ Anna Trebunskaya,23.0,0.2148154697815441,5,1,6,0.152317880794702,0.3671333505762461,1,False
2,5,Lisa Rinna,S2_Lisa Rinna __ Louis van Amstel,25.0,0.165316124219337,3,3,6,0.16556291390728478,0.3308790381266218,1,False
2,5,Stacy Keibler,S2_Stacy Keibler __ Tony Dovolani,30.0,0.1385359977681788,1,5,6,0.1986754966887417,0.3372114944569205,1,False
2,5,Tia Carrere,S2_Tia Carrere __ Maksim Chmerkoskiy,22.0,0.1413382125074298,6,4,10,0.1456953642384106,0.2870335767458404,1,False
2,6,Drew Lachey,S2_Drew Lachey __ Cheryl Burke,30.0,0.1482352333147922,1,5,6,0.22556390977443608,0.37379914308922824,1,False
2,6,George Hamilton,S2_George Hamilton __ Edyta Sliwinska,23.0,0.1817265726324861,4,3,7,0.17293233082706766,0.35465890345955375,1,False
2,6,Jerry Rice,S2_Jerry Rice __ Anna Trebunskaya,23.0,0.2853921460120501,5,1,6,0.17293233082706766,0.45832447683911776,1,False
2,6,Lisa Rinna,S2_Lisa Rinna __ Louis van Amstel,27.0,0.2157505640010248,3,2,5,0.20300751879699247,0.4187580827980173,1,False
2,6,Stacy Keibler,S2_Stacy Keibler __ Tony Dovolani,30.0,0.1688954840396464,2,4,6,0.22556390977443608,0.39445939381408246,1,False
2,7,Drew Lachey,S2_Drew Lachey __ Cheryl Burke,27.5,0.2012717881082946,1,3,4,0.2696078431372549,0.4708796312455495,1,False
2,7,Jerry Rice,S2_Jerry Rice __ Anna Trebunskaya,20.5,0.3613388455341147,4,1,5,0.20098039215686275,0.5623192376909775,1,False
2,7,Lisa Rinna,S2_Lisa Rinna __ Louis van Amstel,26.5,0.2004416792084792,3,4,7,0.25980392156862747,0.46024560077710663,1,False
2,7,Stacy Keibler,S2_Stacy Keibler __ Tony Dovolani,27.5,0.2369476871491112,2,2,4,0.2696078431372549,0.5065555302863661,1,False
3,2,Emmitt Smith,S3_Emmitt Smith __ Cheryl Burke,24.0,0.1050825581145449,3,5,8,0.10434782608695652,0.2094303842015014,1,False
3,2,Harry Hamlin,S3_Harry Hamlin __ Ashly DelGrosso,21.0,0.107414251698291,7,4,11,0.09130434782608696,0.19871859952437795,1,False
3,2,Jerry Springer,S3_Jerry Springer __ Kym Johnson,19.0,0.1220575229081814,10,1,11,0.08260869565217391,0.20466621856035533,1,False
3,2,Joey Lawrence,S3_Joey Lawrence __ Edyta Sliwinska,29.0,0.1016460472469654,1,8,9,0.12608695652173912,0.22773300376870453,1,False
3,2,Mario Lopez,S3_Mario Lopez __ Karina Smirnoff,21.0,0.1095129475435805,8,3,11,0.09130434782608696,0.20081729536966747,1,False
3,2,Monique Coleman,S3_Monique Coleman __ Louis van Amstel,26.0,0.1018283792387206,2,7,9,0.11304347826086956,0.21487185749959015,1,False
3,2,Sara Evans,S3_Sara Evans __ Tony Dovolani,21.0,0.110926453719053,9,2,11,0.09130434782608696,0.20223080154513995,1,False
3,2,Shanna Moakler,S3_Shanna Moakler __ Jesse DeSoto,22.0,0.0403338575148737,6,10,16,0.09565217391304348,0.13598603142791718,1,False
3,2,Vivica A. Fox,S3_Vivica A. Fox __ Nick Kosovich,24.0,0.0963893058599599,4,9,13,0.10434782608695652,0.20073713194691642,1,False
3,2,Willa Ford,S3_Willa Ford __ Maksim Chmerkoskiy,23.0,0.1048086761558291,5,6,11,0.1,0.2048086761558291,1,False
3,3,Emmitt Smith,S3_Emmitt Smith __ Cheryl Burke,19.0,0.1287523769953897,9,2,11,0.09178743961352658,0.22053981660891625,1,False
3,3,Harry Hamlin,S3_Harry Hamlin __ Ashly DelGrosso,22.0,0.0501205615723947,4,9,13,0.10628019323671498,0.15640075480910967,1,False
3,3,Jerry Springer,S3_Jerry Springer __ Kym Johnson,21.0,0.1342462884310305,8,1,9,0.10144927536231885,0.23569556379334936,1,False
3,3,Joey Lawrence,S3_Joey Lawrence __ Edyta Sliwinska,22.0,0.1153251432896925,5,6,11,0.10628019323671498,0.22160533652640746,1,False
3,3,Mario Lopez,S3_Mario Lopez __ Karina Smirnoff,22.0,0.1228084268547038,6,3,9,0.10628019323671498,0.22908862009141878,1,False
3,3,Monique Coleman,S3_Monique Coleman __ Louis van Amstel,27.0,0.1081084591642096,1,7,8,0.13043478260869565,0.23854324177290526,1,False
