season,week,celebrity_name,pair_id,J_score,fan_share,judge_rank,fan_rank,rank_total,judge_pct,combined_pct,elim_count,elim_flag
1,3,Evander Holyfield,S1_Evander Holyfield __ Edyta Sliwinska,13.0,0.1933014279604358,5,3,8,0.12264150943396226,0.31594293739439805,1,False
1,3,Joey McIntyre,S1_Joey McIntyre __ Ashly DelGrosso,22.0,0.2209214934527407,3,1,4,0.20754716981132076,0.42846866326406147,1,False
1,3,John O'Hurley,S1_John O'Hurley __ Charlotte Jorgensen,24.0,0.1854691647852096,2,4,6,0.22641509433962265,0.4118842591248323,1,False
1,3,Kelly Monaco,S1_Kelly Monaco __ Alec Mazo,21.0,0.2149079473455769,4,2,6,0.19811320754716982,0.4130211548927467,1,False
1,3,Rachel Hunter,S1_Rachel Hunter __ Jonathan Roberts,26.0,0.1853999664560367,1,5,6,0.24528301886792453,0.4306829853239612,1,False
1,4,Joey McIntyre,S1_Joey McIntyre __ Ashly DelGrosso,20.0,0.2616156692357851,4,2,6,0.21739130434782608,0.4790069735836112,1,False
1,4,John O'Hurley,S1_John O'Hurley __ Charlotte Jorgensen,21.0,0.2224828901436086,3,3,6,0.22826086956521738,0.45074375970882596,1,False
1,4,Kelly Monaco,S1_Kelly Monaco __ Alec Mazo,26.0,0.2955323190969102,1,1,2,0.2826086956521739,0.5781410147490841,1,False
1,4,Rachel Hunter,S1_Rachel Hunter __ Jonathan Roberts,25.0,0.2203691215236961,2,4,6,0.2717391304347826,0.4921082519584787,1,False
1,5,Joey McIntyre,S1_Joey McIntyre __ Ashly DelGrosso,22.5,0.3489643716231066,3,2,5,0.3082191780821918,0.6571835497052985,1,False
1,5,John O'Hurley,S1_John O'Hurley __ Charlotte Jorgensen,27.0,0.2992428942346492,1,3,4,0.3698630136986301,0.6691059079332793,1,False
1,5,Kelly Monaco,S1_Kelly Monaco __ Alec Mazo,23.5,0.3517927341422442,2,1,3,0.3219178082191781,0.6737105423614222,1,False
2,2,Drew Lachey,S2_Drew Lachey __ Cheryl Burke,27.0,0.1338908174782444,2,1,3,0.135,0.2688908174782444,1,False
2,2,George Hamilton,S2_George Hamilton __ Edyta Sliwinska,22.0,0.1225520901350339,5,4,9,0.11,0.23255209013503392,1,False
2,2,Giselle Fernandez,S2_Giselle Fernandez __ Jonathan Roberts,24.0,0.1297623151016264,3,2,5,0.12,0.2497623151016264,1,False
2,2,Jerry Rice,S2_Jerry Rice __ Anna Trebunskaya,23.0,0.1226672279877817,4,3,7,0.115,0.2376672279877817,1,False
2,2,Lisa Rinna,S2_Lisa Rinna __ Louis van Amstel,20.0,0.0937532243730597,7,7,14,0.1,0.1937532243730597,1,False
2,2,Master P,S2_Master P __ Ashly DelGrosso,16.0,0.1199209239860124,9,5,14,0.08,0.1999209239860124,1,False
2,2,Stacy Keibler,S2_Stacy Keibler __ Tony Dovolani,29.0,0.0923091180497542,1,8,9,0.145,0.2373091180497542,1,False
