season,weeks_with_elim_total,weeks_missing_fan,weeks_used,coverage,diff_weeks,diff_share,fan_favor_delta,judge_favor_delta,n_weeks_used_metrics
1,4,1,3,0.75,1,0.3333333333333333,0.3333333333333333,-0.3333333333333333,3
2,7,1,6,0.857,0,0.0,0.0,0.0,6
3,8,1,7,0.875,1,0.1428571428571428,0.0,0.0,7
4,8,1,7,0.875,0,0.0,0.0,0.0,7
5,9,4,5,0.556,0,0.0,0.0,0.0,5
6,8,1,7,0.875,0,0.0,0.0,0.0,7
7,8,1,7,0.875,1,0.1428571428571428,-0.2857142857142857,0.21428571428571427,7
8,9,1,8,0.889,1,0.125,0.375,-0.375,8
9,9,1,8,0.889,3,0.375,-0.1875,0.0625,8
10,8,1,7,0.875,0,0.0,0.0,0.0,7
11,9,1,8,0.889,0,0.0,0.0,0.0,8
12,8,1,7,0.875,0,0.0,0.0,0.0,7
13,9,1,8,0.889,0,0.0,0.0,0.0,8
14,8,1,7,0.875,1,0.1428571428571428,0.0,0.0,7
15,7,1,6,0.857,1,0.1666666666666666,-0.8333333333333334,0.3333333333333333,6
16,8,1,7,0.875,0,0.0,0.0,0.0,7
17,8,1,7,0.875,1,0.1428571428571428,0.42857142857142855,-0.8571428571428571,7
18,7,1,6,0.857,2,0.3333333333333333,0.3333333333333333,-0.5,6
19,9,1,8,0.889,1,0.125,-0.5,0.5,8
20,8,1,7,0.875,2,0.2857142857142857,0.42857142857142855,-0.42857142857142855,7
21,6,0,6,1.0,2,0.3333333333333333,-0.22222222222222218,0.22222222222222232,6
22,7,1,6,0.857,1,0.1666666666666666,-0.3333333333333333,0.16666666666666666,6
23,8,1,7,0.875,1,0.1428571428571428,0.42857142857142855,-0.42857142857142855,7
24,8,1,7,0.875,3,0.4285714285714285,0.5714285714285714,-1.1428571428571428,7
25,7,1,6,0.857,1,0.1666666666666666,-0.5833333333333334,0.5,6
26,3,1,2,0.667,1,0.5,0.25,-0.5,2
27,7,1,6,0.857,3,0.5,0.08333333333333333,-0.5833333333333334,6
28,7,1,6,0.857,1,0.1666666666666666,-0.3333333333333333,0.25,6
29,9,1,8,0.889,1,0.125,0.1875,-0.1875,8
30,8,1,7,0.875,1,0.1428571428571428,0.0,0.0,7
31,9,1,8,0.889,3,0.375,0.4375,-1.4375,8
32,9,0,9,1.0,2,0.2222222222222222,0.2222222222222222,-0.4444444444444444,9
33,6,5,1,0.167,1,1.0,2.0,-2.0,1
34,8,1,7,0.875,0,0.0,0.0,0.0,7
