season,week,elim_count,rank_eliminated,percent_eliminated,rank_bottom_two,percent_bottom_two,rank_judge_save_elim,percent_judge_save_elim,actual_eliminated
1,3,1,Evander Holyfield,Evander Holyfield,Evander Holyfield|Joey McIntyre,Evander Holyfield|John O'Hurley,Evander Holyfield,Evander Holyfield,Trista Sutter
1,4,1,John O'Hurley,Rachel Hunter,John O'Hurley|Rachel Hunter,Rachel Hunter|John O'Hurley,John O'Hurley,John O'Hurley,Evander Holyfield
1,5,1,Joey McIntyre,Joey McIntyre,Joey McIntyre|John O'Hurley,Joey McIntyre|John O'Hurley,Joey McIntyre,Joey McIntyre,Rachel Hunter
2,2,1,Tatum O'Neal,Tatum O'Neal,Tatum O'Neal|Tia Carrere,Tatum O'Neal|Master P,Tatum O'Neal,Master P,Kenny Mayne
2,3,1,Giselle Fernandez,Giselle Fernandez,Giselle Fernandez|Jerry Rice,Giselle Fernandez|Jerry Rice,Jerry Rice,Jerry Rice,Tatum O'Neal
2,4,1,Master P,Master P,Master P|Drew Lachey,Master P|Stacy Keibler,Master P,Master P,Giselle Fernandez
2,5,1,Tia Carrere,Tia Carrere,Tia Carrere|Drew Lachey,Tia Carrere|Drew Lachey,Tia Carrere,Tia Carrere,Master P
2,6,1,George Hamilton,George Hamilton,George Hamilton|Drew Lachey,George Hamilton|Drew Lachey,George Hamilton,George Hamilton,Tia Carrere
2,7,1,Lisa Rinna,Lisa Rinna,Lisa Rinna|Jerry Rice,Lisa Rinna|Drew Lachey,Jerry Rice,Lisa Rinna,George Hamilton
3,2,1,Shanna Moakler,Shanna Moakler,Shanna Moakler|Vivica A. Fox,Shanna Moakler|Harry Hamlin,Shanna Moakler,Harry Hamlin,Tucker Carlson
3,3,1,Harry Hamlin,Harry Hamlin,Harry Hamlin|Emmitt Smith,Harry Hamlin|Emmitt Smith,Emmitt Smith,Emmitt Smith,Shanna Moakler
3,4,1,Vivica A. Fox,Vivica A. Fox,Vivica A. Fox|Monique Coleman,Vivica A. Fox|Monique Coleman,Monique Coleman,Monique Coleman,Harry Hamlin
3,5,1,Sara Evans,Sara Evans,Sara Evans|Willa Ford,Sara Evans|Willa Ford,Sara Evans,Sara Evans,Vivica A. Fox
3,6,2,Monique Coleman|Jerry Springer,Jerry Springer|Monique Coleman,Monique Coleman|Jerry Springer,Jerry Springer|Monique Coleman,,,Sara Evans|Willa Ford
