,coef_std
C(pro_s)[T.Britt Stewart],-0.29978992098401946
C(pro_s)[T.Lacey Schwimmer],-0.2620429634209306
C(pro_s)[T.Chelsie Hightower],-0.2615523345442461
C(pro_s)[T.Keo Motsepe],-0.24198755867282445
C(pro_s)[T.Edyta Sliwinska],-0.18258891940806485
C(pro_s)[T.OtherPro],-0.16333271310578923
C(pro_s)[T.Louis van Amstel],-0.13033384010192067
C(pro_s)[T.Peta Murgatroyd],-0.13007741544464704
C(pro_s)[T.Julianne Hough],-0.1224466416351769
C(pro_s)[T.Karina Smirnoff],-0.11172325191223195
C(pro_s)[T.Emma Slater],-0.10053257303431284
C(pro_s)[T.Brandon Armstrong],-0.09433266307436562
C(pro_s)[T.Lindsay Arnold],-0.07520717702376639
C(pro_s)[T.Anna Trebunskaya],-0.06356288239382904
C(pro_s)[T.Gleb Savchenko],-0.05846420793505752
C(pro_s)[T.Jenna Johnson],-0.04964189295179999
C(pro_s)[T.Sharna Burgess],-0.02386253614850345
C(pro_s)[T.Daniella Karagach],-0.010131610877713304
C(pro_s)[T.Cheryl Burke],-0.004958703062910727
C(pro_s)[T.Pasha Pashkov],0.052826099436656504
C(pro_s)[T.Tony Dovolani],0.055988272546308476
C(pro_s)[T.Jonathan Roberts],0.08261599040077919
C(pro_s)[T.Allison Holker],0.08579576512508127
C(pro_s)[T.Kym Johnson],0.09064386979622947
C(pro_s)[T.Witney Carson],0.10905933442192181
C(pro_s)[T.Maksim Chmerkoskiy],0.11649084579261199
C(pro_s)[T.Mark Ballas],0.12453543317445195
C(pro_s)[T.Sasha Farber],0.1277273513057467
C(pro_s)[T.Valentin Chmerkovskiy],0.19521421847265338
C(pro_s)[T.Artem Chigvintsev],0.19900416410629018
C(pro_s)[T.Derek Hough],0.3033916881877879
