season,week,n_active,true_k,true_elims,pred_rank,pred_percent,pred_dynamic_js,pred_uncertainty_geo,match_rank,match_percent,match_dynamic_js,match_uncertainty_geo,has_extreme_disagreement,true_in_extreme,rank_in_extreme,percent_in_extreme,dynamic_in_extreme,uncertainty_geo_in_extreme,pred_rank_set,pred_percent_set,pred_dynamic_set,pred_uncertainty_set,rank_vs_percent_diff,geo_vs_rank_diff,geo_vs_percent_diff
1,4,4,1,Rachel Hunter,Joey McIntyre,John O'Hurley,John O'Hurley,John O'Hurley,0,0,0,0,0,0,0,0,0,0,{'Joey McIntyre'},"{""John O'Hurley""}","{""John O'Hurley""}","{""John O'Hurley""}",1,1,0
2,3,8,1,Giselle Fernandez,Giselle Fernandez,Jerry Rice,Jerry Rice,Jerry Rice,1,0,0,0,0,0,0,0,0,0,{'Giselle Fernandez'},{'Jerry Rice'},{'Jerry Rice'},{'Jerry Rice'},1,1,0
2,5,6,1,Tia Carrere,Tia Carrere,Drew Lachey,Tia Carrere,Drew Lachey,1,0,1,0,0,0,0,0,0,0,{'Tia Carrere'},{'Drew Lachey'},{'Tia Carrere'},{'Drew Lachey'},1,1,0
3,3,9,1,Harry Hamlin,Emmitt Smith,Harry Hamlin,Harry Hamlin,Harry Hamlin,0,1,1,1,0,0,0,0,0,0,{'Emmitt Smith'},{'Harry Hamlin'},{'Harry Hamlin'},{'Harry Hamlin'},1,1,0
3,4,8,1,Vivica A. Fox,Jerry Springer,Vivica A. Fox,Vivica A. Fox,Vivica A. Fox,0,1,1,1,0,0,0,0,0,0,{'Jerry Springer'},{'Vivica A. Fox'},{'Vivica A. Fox'},{'Vivica A. Fox'},1,1,0
3,5,7,2,Sara Evans;Willa Ford,Joey Lawrence;Sara Evans,Sara Evans;Willa Ford,Mario Lopez;Willa Ford,Mario Lopez;Willa Ford,0,1,0,0,0,0,0,0,0,0,"{'Sara Evans', 'Joey Lawrence'}","{'Sara Evans', 'Willa Ford'}","{'Willa Ford', 'Mario Lopez'}","{'Willa Ford', 'Mario Lopez'}",1,1,1
3,6,5,1,Jerry Springer,Emmitt Smith,Jerry Springer,Jerry Springer,Jerry Springer,0,1,1,1,0,0,0,0,0,0,{'Emmitt Smith'},{'Jerry Springer'},{'Jerry Springer'},{'Jerry Springer'},1,1,0
4,4,9,1,Leeza Gibbons,Heather Mills,Leeza Gibbons,Leeza Gibbons,Leeza Gibbons,0,1,1,1,1,0,0,0,0,0,{'Heather Mills'},{'Leeza Gibbons'},{'Leeza Gibbons'},{'Leeza Gibbons'},1,1,0
4,5,8,1,Clyde Drexler,Billy Ray Cyrus,Clyde Drexler,Clyde Drexler,Clyde Drexler,0,1,1,1,0,0,0,0,0,0,{'Billy Ray Cyrus'},{'Clyde Drexler'},{'Clyde Drexler'},{'Clyde Drexler'},1,1,0
4,7,6,1,John Ratzenberger,John Ratzenberger,John Ratzenberger,John Ratzenberger,Billy Ray Cyrus,1,1,1,0,0,0,0,0,0,0,{'John Ratzenberger'},{'John Ratzenberger'},{'John Ratzenberger'},{'Billy Ray Cyrus'},0,1,1
