season,week,n_active,true_k,true_elims,pred_rank,pred_percent,pred_dynamic_js,pred_uncertainty_geo,match_rank,match_percent,match_dynamic_js,match_uncertainty_geo,has_extreme_disagreement,true_in_extreme,rank_in_extreme,percent_in_extreme,dynamic_in_extreme,uncertainty_geo_in_extreme,pred_rank_set,pred_percent_set,pred_dynamic_set,pred_uncertainty_set,rank_vs_percent_diff,geo_vs_rank_diff,geo_vs_percent_diff
4,4,9,1,Leeza Gibbons,Heather Mills,Leeza Gibbons,Leeza Gibbons,Leeza Gibbons,0,1,1,1,1,0,0,0,0,0,{'Heather Mills'},{'Leeza Gibbons'},{'Leeza Gibbons'},{'Leeza Gibbons'},1,1,0
6,3,10,1,Steve Guttenberg,Marissa Jaret Winokur,Steve Guttenberg,Steve Guttenberg,Steve Guttenberg,0,1,1,1,1,0,0,0,0,0,{'Marissa Jaret Winokur'},{'Steve Guttenberg'},{'Steve Guttenberg'},{'Steve Guttenberg'},1,1,0
8,3,12,1,Denise Richards,Denise Richards,Denise Richards,Denise Richards,Steve Wozniak,1,1,1,0,1,0,0,0,0,0,{'Denise Richards'},{'Denise Richards'},{'Denise Richards'},{'Steve Wozniak'},0,1,1
8,4,11,2,Holly Madison;Steve Wozniak,Holly Madison;Lawrence Taylor,Holly Madison;Steve Wozniak,Melissa Rycroft;Steve Wozniak,Holly Madison;Steve Wozniak,0,1,0,1,1,0,0,0,1,0,"{'Lawrence Taylor', 'Holly Madison'}","{'Steve Wozniak', 'Holly Madison'}","{'Steve Wozniak', 'Melissa Rycroft'}","{'Steve Wozniak', 'Holly Madison'}",1,1,0
9,3,13,2,Debi Mazar;Tom DeLay,Debi Mazar;Tom DeLay,Debi Mazar;Tom DeLay,Aaron Carter;Debi Mazar,Michael Irvin;Tom DeLay,1,1,0,0,1,0,0,0,1,0,"{'Tom DeLay', 'Debi Mazar'}","{'Tom DeLay', 'Debi Mazar'}","{'Debi Mazar', 'Aaron Carter'}","{'Tom DeLay', 'Michael Irvin'}",0,1,1
9,6,9,2,Louie Vito;Melissa Joan Hart,Mark Dacascos;Melissa Joan Hart,Louie Vito;Melissa Joan Hart,Mark Dacascos;Mya,Louie Vito;Melissa Joan Hart,0,1,0,1,1,0,0,0,0,0,"{'Melissa Joan Hart', 'Mark Dacascos'}","{'Louie Vito', 'Melissa Joan Hart'}","{'Mya', 'Mark Dacascos'}","{'Louie Vito', 'Melissa Joan Hart'}",1,1,0
13,2,11,1,Elisabetta Canalis,David Arquette,Elisabetta Canalis,Elisabetta Canalis,Elisabetta Canalis,0,1,1,1,1,0,0,0,0,0,{'David Arquette'},{'Elisabetta Canalis'},{'Elisabetta Canalis'},{'Elisabetta Canalis'},1,1,0
13,3,10,1,Kristin Cavallari,Carson Kressley,Kristin Cavallari,Kristin Cavallari,Kristin Cavallari,0,1,1,1,1,0,0,0,0,0,{'Carson Kressley'},{'Kristin Cavallari'},{'Kristin Cavallari'},{'Kristin Cavallari'},1,1,0
13,4,9,1,Chynna Phillips,Carson Kressley,Chynna Phillips,Chynna Phillips,Chynna Phillips,0,1,1,1,1,0,0,0,0,0,{'Carson Kressley'},{'Chynna Phillips'},{'Chynna Phillips'},{'Chynna Phillips'},1,1,0
15,3,11,2,Drew Lachey;Helio Castroneves,Drew Lachey;Kirstie Alley,Drew Lachey;Helio Castroneves,Drew Lachey;Helio Castroneves,Drew Lachey;Helio Castroneves,0,1,1,1,1,0,0,0,0,0,"{'Drew Lachey', 'Kirstie Alley'}","{'Drew Lachey', 'Helio Castroneves'}","{'Drew Lachey', 'Helio Castroneves'}","{'Drew Lachey', 'Helio Castroneves'}",1,1,0
17,5,9,1,Christina Milian,Elizabeth Berkley Lauren,Christina Milian,Elizabeth Berkley Lauren,Christina Milian,0,1,0,1,1,1,0,1,0,1,{'Elizabeth Berkley Lauren'},{'Christina Milian'},{'Elizabeth Berkley Lauren'},{'Christina Milian'},1,1,0
18,2,11,2,Billy Dee Williams;Sean Avery,Amy Purdy;Sean Avery,Billy Dee Williams;Sean Avery,Meryl Davis;Sean Avery,Billy Dee Williams;Sean Avery,0,1,0,1,1,1,0,1,0,1,"{'Sean Avery', 'Amy Purdy'}","{'Sean Avery', 'Billy Dee Williams'}","{'Meryl Davis', 'Sean Avery'}","{'Sean Avery', 'Billy Dee Williams'}",1,1,0
19,3,11,1,Randy Couture,Lea Thompson,Randy Couture,Lea Thompson,Randy Couture,0,1,0,1,1,0,0,0,0,0,{'Lea Thompson'},{'Randy Couture'},{'Lea Thompson'},{'Randy Couture'},1,1,0
19,5,9,1,Jonathan Bennett,Antonio Sabato Jr.,Antonio Sabato Jr.,Antonio Sabato Jr.,Michael Waltrip,0,0,0,0,1,0,0,0,0,0,{'Antonio Sabato Jr.'},{'Antonio Sabato Jr.'},{'Antonio Sabato Jr.'},{'Michael Waltrip'},0,1,1
21,3,10,1,Gary Busey,Andy Grammer,Paula Deen,Paula Deen,Paula Deen,0,0,0,0,1,0,0,0,0,0,{'Andy Grammer'},{'Paula Deen'},{'Paula Deen'},{'Paula Deen'},1,1,0
23,4,11,2,Babyface;Vanilla Ice,Babyface;Ryan Lochte,Babyface;Vanilla Ice,Babyface;Vanilla Ice,Babyface;Vanilla Ice,0,1,1,1,1,0,0,0,0,0,"{'Babyface', 'Ryan Lochte'}","{'Babyface', 'Vanilla Ice'}","{'Babyface', 'Vanilla Ice'}","{'Babyface', 'Vanilla Ice'}",1,1,0
