celebrity_name,wiki_title,views_total,views_mean,views_peak,status
Alexa PenaVega,,0,0,0,err:request_failed
Adrian Peterson,,0,0,0,err:request_failed
Aaron Carter,,0,0,0,err:request_failed
Alexandra Raisman,,0,0,0,err:request_failed
Albert Reed,,0,0,0,err:request_failed
Adam Carolla,,0,0,0,err:request_failed
Alfonso Ribeiro,,0,0,0,err:request_failed
Alek Skarlatos,,0,0,0,err:request_failed
Alexis Ren,,0,0,0,err:request_failed
Adam Rippon,,0,0,0,err:request_failed
AJ McLean,,0,0,0,err:request_failed
Aiden Turner,,0,0,0,err:request_failed
Amber Riley,,0,0,0,err:request_failed
Alix Earle,,0,0,0,err:request_failed
Amy Purdy,,0,0,0,err:request_failed
Andy Grammer,,0,0,0,err:request_failed
Alyson Hannigan,,0,0,0,err:request_failed
Anna Delvey,,0,0,0,err:request_failed
Andy Richter,,0,0,0,err:request_failed
Amber Rose,,0,0,0,err:request_failed
Ally Brooke,,0,0,0,err:request_failed
Andy Dick,,0,0,0,err:request_failed
Amanda Kloots,,0,0,0,err:request_failed
Anne Heche,,0,0,0,err:request_failed
Baron Davis,,0,0,0,err:request_failed
Ariana Madix,,0,0,0,err:request_failed
Apolo Anton Ohno,,0,0,0,err:request_failed
Arike Ogunbowale,,0,0,0,err:request_failed
Audrina Patridge,,0,0,0,err:request_failed
Ashley Hamiliton,,0,0,0,err:request_failed
Belinda Carlisle,,0,0,0,err:request_failed
Antonio Sabato Jr.,,0,0,0,err:request_failed
Barry Williams,,0,0,0,err:request_failed
Barbara Corcoran,,0,0,0,err:request_failed
Babyface,,0,0,0,err:request_failed
Antonio Brown,,0,0,0,err:request_failed
Bill Nye,,0,0,0,err:request_failed
Betsey Johnson,,0,0,0,err:request_failed
Bethany Mota,,0,0,0,err:request_failed
Bill Engvall,,0,0,0,err:request_failed
Brian Austin Green,,0,0,0,err:request_failed
Billy Ray Cyrus,,0,0,0,err:request_failed
Bindi Irwin,,0,0,0,err:request_failed
Brandy,,0,0,0,err:request_failed
Bobby Bones,,0,0,0,err:request_failed
Billy Dee Williams,,0,0,0,err:request_failed
Bonner Bolton,,0,0,0,err:request_failed
Brant Daugherty,,0,0,0,err:request_failed
Candace Cameron Bure,,0,0,0,err:request_failed
Cameron Mathison,,0,0,0,err:request_failed
